gi|918	41353	41489	R=0	-	41396	78	43
gi|918	38646	38778	R=0	+	38720	74	43
gi|918	37800	38028	R=0	+	37879	79	134
gi|918	36444	36620	R=0	+	36518	74	87
gi|918	34011	34240	R=0	+	34090	79	135
gi|918	33295	33431	R=0	+	33373	78	43
gi|918	32791	32923	R=0	+	32865	74	43
gi|918	29695	29831	R=0	+	29773	78	43
gi|918	27041	27220	R=0	-	27128	77	87
gi|918	25550	25687	R=0	+	25629	79	43
gi|918	19904	20130	R=0	-	20036	79	132
gi|918	19321	19458	R=0	+	19400	79	43
gi|918	16256	16462	R=0	-	16371	76	115
gi|918	13063	13199	R=0	-	13106	78	43
gi|918	12693	12922	R=0	+	12769	76	138
gi|918	9066	9295	R=0	+	9142	76	138
gi|918	7885	8010	R=0	+	7961	76	34
gi|918	6048	6242	R=0	-	6165	62	117
gi|918	2318	2522	R=0	-	2433	74	115
gi|918	234	463	R=0	+	313	79	135
gi|910	19428	19564	R=0	-	19471	78	43
gi|910	18250	18386	R=0	-	18293	78	43
gi|910	16901	17026	R=0	-	16935	76	34
gi|910	15189	15393	R=0	+	15263	74	115
gi|910	11469	11663	R=0	+	11531	62	117
gi|910	9701	9826	R=0	-	9735	76	34
gi|910	8416	8645	R=0	-	8554	76	138
gi|910	4791	5020	R=0	-	4929	76	138
gi|910	4514	4650	R=0	+	4592	78	43
gi|910	1239	1445	R=0	+	1315	76	115
gi|892	1350	1472	R=0	-	1384	73	34
gi|892	37	216	R=0	+	114	77	87
gi|876	30491	30616	R=0	-	30525	76	34
gi|876	29206	29435	R=0	-	29344	76	138
gi|876	25579	25808	R=0	-	25717	76	138
gi|876	25302	25438	R=0	+	25380	78	43
gi|876	22027	22233	R=0	+	22103	76	115
gi|876	19031	19168	R=0	-	19074	79	43
gi|876	17873	18054	R=0	+	17952	79	87
gi|876	15285	15497	R=0	+	15363	78	119
gi|876	12944	13175	R=0	-	13081	79	137
gi|876	12220	12345	R=0	-	12254	76	34
gi|876	11514	11639	R=0	-	11548	76	34
gi|876	8932	9159	R=0	+	9008	76	136
gi|876	2725	2954	R=0	-	2860	79	135
gi|876	2094	2229	R=0	-	2137	77	43
gi|876	915	1051	R=0	-	958	78	43
gi|876	-2	144	R=0	-	50	79	52
gi|867	21610	21838	R=0	+	21689	79	134
gi|867	12368	12596	R=0	+	12446	78	135
gi|867	11559	11696	R=0	+	11638	79	43
gi|867	10565	10794	R=0	+	10644	79	135
gi|867	7694	7860	R=0	-	7771	74	77
gi|867	2323	2459	R=0	-	2366	78	43
gi|858	3704	3930	R=0	+	3778	74	137
gi|858	2888	3025	R=0	+	2967	79	43
gi|858	1000	1229	R=0	+	1079	79	135
gi|835	37444	37570	R=0	-	37478	77	34
gi|835	36386	36523	R=0	-	36429	79	43
gi|835	35180	35408	R=0	-	35317	76	137
gi|835	34602	34825	R=0	-	34739	71	137
gi|835	33730	33956	R=0	-	33862	79	132
gi|835	32295	32524	R=0	-	32430	79	135
gi|835	28868	29004	R=0	-	28911	78	43
gi|835	28014	28243	R=0	-	28149	79	135
gi|835	20514	20643	R=0	-	20557	71	43
gi|835	19530	19736	R=0	+	19606	76	115
